*送信する画面名,Activity(Android),遷移前／フラグ(Android),ViewController(iOS),前画面／フラグ(iOS)
Home Screen,GuidanceMenuActivity.java,,FunctionViewController.h,
Bluetooth,BluetoothSettingActivity.java,,BluetoothViewController.h,
Bluetooth Paring,BluetoothRegistActivity.java,,BTPairingViewController.h,
Bluetooth Cloud Backup,BluetoothCloudBackupActivity.java,,BTAutoBackupViewController.h,
NFC Connect,***処理実行時に送信***,,,
NFC Share,TouchShareCopyActivity.java,,,
NFC Geotag,***処理実行時に送信***,,,
QR code,QrCodeReaderActivity.java,,QRCodeReaderViewController.h,
Geotaging,GeoTagActivity.java,,GeoTaggingViewController.h,
SnapMovie,SnapMoviePreviewActivity.java,,SnapMovieMainViewController.h,
Auto PhotoCollage,MultiPhotoFrameMainActivity.java,MultiPhotoFrameExecuteActivity.java,MultiPhotoViewController.h,Auto
PhotoCollage,MultiPhotoFrameMainActivity.java,MultiPhotoFrameSelectPictureActivity.java,MultiPhotoViewController.h,Manual
HighlightPlayback,HighlightActivity.java,,標準再生画面にて、ムービースライドショーとわかる用に発行,
HighlightPlayback,MovieSlideshowActivity.java,,,
Camera Setting Copy,CameraSettingActivity.java,,CamSettingsViewController.h,
Bluetooth Remocon,BluetoothRemoteControllerActivity,,BTRemoteControlViewController.h,
Batch Transfer,***処理実行時に送信***,,CopyAssistViewController.h,
Rec Screen,LiveViewNoConnectionActivity.java,,RecViewControllerNoCamera.h,
Rec Screen,LiveViewLumixActivity.java,,RecViewControllerLL2Default.h,
Rec Screen,,,RecViewControllerCompact.h,
Rec Screen,LiveviewLumixCompactActivity.java,,RecViewControllerCompact2.h,
Rec Screen,,,RecViewControllerCompact3.h,
Rec Screen,LiveViewLumixMirrorlessActivity.java,,RecViewControllerMirrorLess.h,
Rec Screen,LiveviewLumixGseriesActivity.java,,RecViewControllerMirrorLess2.h,
Rec Screen,LiveviewLumixGHActivity.java,,RecViewControllerMirrorLess3.h,
Rec Screen,,,RecViewControllerMirrorLess4.h,
Rec Screen,,,RecViewControllerMirrorLess5.h,
Rec Screen,,,RecViewControllerMirrorLess6.h,
Rec Screen,,,RecViewControllerMirrorLess7.h,
Rec Screen,,,RecViewControllerGH3.h,
Rec Screen,LiveViewMovieOnlyVideoActivity.java,,RecViewControllerSemiPro.h,
Rec Screen,LiveViewVerticalActivity.java,,RecViewControllerVertical.h,
Rec Screen,,,,
Rec Screen,LiveViewWearableActivity.java,,RecViewControllerWearable.h,
Rec Screen,LiveViewWearablePictureActivity.java,,RecViewControllerWearable2.h,
Rec Screen,,,,
Rec Screen,,,,
Rec Screen,,,,
Rec Screen,LiveViewWearableVideoActivity.java,,RecViewControllerWearable3.h,
Rec Screen,,,RecViewControllerMovie.h,
Rec Screen,,,RecViewControllerMovie2.h,
Rec Screen,,,RecViewControllerMovie3.h,
Rec Screen,,,RecViewControllerMovie4.h,
Rec Fullscreen,LiveViewMoviePictureWithFullActivity.java,,,
Rec Fullscreen,LiveViewMovieVideoWithFullActivity.java,,,
Baby Monitor,LiveViewMovieBabyMonitorActivity.java,,,
HomeMonitor,LiveViewRemoteWatchActivity.java,,,
Matanity,LiveViewMovieMatanityMainActivity.java,,,
Pantilter,LiveViewMoviePantilterAutoMovieActivity.java,,,
Pantilter,LiveViewMoviePantilterManualMovieActivity.java,,,
Pantilter,LiveViewMoviePantilterPresetActivity.java,,,
Scene Guide,SetupWithLiveViewSceneGuideSelectActivity.java,,SGLiveViewController.h,
Photo Style,SetupWithLiveViewPhotoStyleActivity.java,,PhotoStyleViewController.h,
Photo Style,,,PhotoStyleViewControllerType2.h,
Photo Style,,,PhotoStyleViewControllerType3.h,
Photo Style,,,PhotoStyleViewControllerType4.h,
Wireless Twin,WirelessTwinCameraActivity.java,,WirelessTwinViewController.h,
Stop Motion,LiveViewMirrorlessStopmotionActivity.java,,MenuRecViewControllerMirrorless.h,
Stop Motion,LiveViewStopmotionActivity.java,,MenuRecViewControllerMirrorless2.h,
Stop Motion,,,MenuRecViewControllerMirrorless3.h,
Stop Motion,,,MenuRecViewControllerMirrorless4.h,
Stop Motion,,,MenuRecViewControllerMirrorLess5.h,
Stop Motion,,,MenuRecViewControllerMirrorLess6.h,
Stop Motion,,,MenuRecViewControllerMirrorLess7.h,
Play Thumbnail,MainBrowserActivity.java,,ThumbnailViewController.h,
Play Picture,OneContentPreviewActivity.java,,PictureViewController.h,
Play Video Remote,ContentPlayerActivity.java,Remote,PlayLiveViewMovieViewController.h,
Play Video Local,ContentPlayerActivity.java,Local,PlayMovieViewController.h,
Upload Picmate,PicmateSendActivity.java,,,
Upload Picmate,,,CommentViewController.h,
UnsentImage Property,PicmateUnsentImageInfoActivity.java,,UnsentImagePropertyViewController.h,
Picture Jump,PictureJumpActivity.java,,,
Play 3Box,ThreeBoxActivity.java,,DlnaRemoteViewController.h,
Connect Dest,AccessPointSettingActivity.java,,DeviceListTableViewController.h,
Connect Dest NFC,***処理実行時に送信***,,,
Movie Format,CamSetupFormatActivity.java,,,
Movie Init,CamSetupInitActivity.java,,,
Movie Number Reset,CamSetupNumRstActivity.java,,,
Movie All Delete,CameraAllDeleteActivity.java,,,
Movie Power Off,CameraPowerOffActivity.java,,,
Movie Information,CamSetupDevInfoActivity.java,,DeviceInfoViewController.h,
Movie  WB,***メニューから選択で表示。,,WBSetmodeViewController.h,
Wizard Start,SetupWearableSettingActivity.java,,InitSettingViewController.h,
Wizard Start,EasyWiFiSettingActivity.java,,WiFiSettingTopViewController.h,
Network Name,NetworkNameSettingActivity.java,,DlnaNameViewController.h,
Picturejump Setting,PictureJumpSetupActivity.java,,PictureJumpSettingViewController.h,
Picmate Login,LoginActivity.java,,LoginInfoViewController.h,
Picmate Regist,CreatePasswordActivity.java,,LoginRegistViewController.h,
Picmate Uploaded List,PicmateUploadContentsViewActivity.java,,PictureListViewController.h,
Picmate Uploaded Play,PicmateUploadOneContentViewActivity.java,,PicmatePictureViewController.h,
Picmate AV regist,RegistEquipmentActivity.java,,AVRegistViewController.h,
Picmate AV select,RegistEquipmentInfoActivity.java,,AVListViewController.h,
Picmate SNS select,RegistServiceActivity.java,,SNSListViewController.h,
